ANOMES,CD_PRODUTO_ITEM,DC_PRODUTO_ITEM,DC_CATEGORIA_ITEM
2024-11,146478,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-10,146478,CANETA DELINEADORA PARA OLHOS UNA ,MAQUIAGEM
2024-03,121242,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-07,121242,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-06,121242,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-05,121242,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-08,121242,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-10,121242,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-09,121242,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-11,121242,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-04,121242,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-02,121242,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-09,148415,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-08,148415,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-11,148415,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-10,148415,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-07,148415,CONDICIONADOR DE LIMPEZA PARA CABELOS CACHEADOS E CRESPOS LUMINA 300 ML,CABELOS
2024-04,112023,CONDICIONADOR HIDRATANTE PARA CABELOS CACHEADOS LUMINA 300 ML,CABELOS
2024-03,112023,CONDICIONADOR HIDRATANTE PARA CABELOS CACHEADOS LUMINA 300 ML,CABELOS
2024-06,112023,CONDICIONADOR HIDRATANTE PARA CABELOS CACHEADOS LUMINA 300 ML,CABELOS
2024-02,112023,CONDICIONADOR HIDRATANTE PARA CABELOS CACHEADOS LUMINA 300 ML,CABELOS
2024-05,112023,CONDICIONADOR HIDRATANTE PARA CABELOS CACHEADOS LUMINA 300 ML,CABELOS
2024-07,112023,CONDICIONADOR HIDRATANTE PARA CABELOS CACHEADOS LUMINA 300 ML,CABELOS
2024-08,112023,CONDICIONADOR HIDRATANTE PARA CABELOS CACHEADOS LUMINA 300 ML,CABELOS
2024-11,148411,CONDICIONADOR HIDRATANTE PARA CABELOS CACHEADOS LUMINA 300 ML,CABELOS
