ANOMES,CD_PRODUTO_ITEM,DC_PRODUTO_ITEM,DC_CATEGORIA_ITEM
2024-05,100530,DESODORANTE ANTITRANSPIRANTE EM CREME TODODIA AMEIXA E FLOR DE BAUNILHA 80 G,CORPO E BANHO
2023-04,100532,CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA AMEIXA E FLOR DE BAUNILHA - 50ML,CORPO
2023-05,100532,CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA AMEIXA E FLOR DE BAUNILHA - 50ML,CORPO
2024-5,100532,TODODIA HID DES AMEIXA BAUNIL,CORPO E BANHO
2024-06,100532,TODODIA HID DES AMEIXA BAUNIL,CORPO E BANHO
2024-07,100532,TODODIA HID DES AMEIXA BAUNIL,CORPO E BANHO
2023-11,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA - 5 UN. DE 90 G CADA,SABONETE
2024-02,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA - 5 UN. DE 90 G CADA,SABONETE
2023-09,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA - 5 UN. DE 90 G CADA,SABONETE
2023-10,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA - 5 UN. DE 90 G CADA,SABONETE
2023-04,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA - 5 UN. DE 90 G CADA,SABONETE
2023-07,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA - 5 UN. DE 90 G CADA,SABONETE
2023-06,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA - 5 UN. DE 90 G CADA,SABONETE
2023-12,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA - 5 UN. DE 90 G CADA,SABONETE
2023-05,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA - 5 UN. DE 90 G CADA,SABONETE
2023-08,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA - 5 UN. DE 90 G CADA,SABONETE
2024-7,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA 5 UN DE 90 G CADA,CORPO E BANHO
2024-06,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA 5 UN DE 90 G CADA,CORPO E BANHO
2024-10,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA 5 UN DE 90 G CADA,CORPO E BANHO
2024-3,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA 5 UN DE 90 G CADA,CORPO E BANHO
2024-09,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA 5 UN DE 90 G CADA,CORPO E BANHO
2024-05,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA 5 UN DE 90 G CADA,CORPO E BANHO
2024-04,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA 5 UN DE 90 G CADA,CORPO E BANHO
2024-02,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA 5 UN DE 90 G CADA,CORPO E BANHO
2024-11,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA 5 UN DE 90 G CADA,CORPO E BANHO
2024-08,100535,SABONETE EM BARRA PURO VEGETAL TODODIA AMEIXA E FLOR DE BAUNILHA 5 UN DE 90 G CADA,CORPO E BANHO
2023-10,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ  - 400 ML,CORPO
2023-03,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ  - 400 ML,CORPO
2023-12,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ  - 400 ML,CORPO
2023-11,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ  - 400 ML,CORPO
2023-08,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ  - 400 ML,CORPO
2023-09,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ  - 400 ML,CORPO
2023-4,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ  - 400 ML,CORPO
2023-07,100605,REFIL CREME DESODORANTE NUTRITIVO PARA O CORPO TODODIA CEREJA E AVELÃ  - 400 ML,CORPO
